Record ID,Date Closed,Due Date,Implementation Phase,Implementation Type,CA ID,Record ID,Target Implementation Date,Status,Lifecycle State,QE ID,URL-Record ID,URL-Record ID
CA-017615,,,N/A,Post-Implementation,CA-017615,QE-007160,24-Jun-24,Active,In Change Plan Approval,QE-007160,https://bluebirdbio-qualitydocs.veevavault.com/ui/#object/change_action__qdm/OPA0000000Z4023,https://bluebirdbio-qualitydocs.veevavault.com/ui/#object/quality_event__qdm/OP20000000WS005
CA-017614,,,N/A,Post-Implementation,CA-017614,QE-007160,24-Jun-24,Active,In Change Plan Approval,QE-007160,https://bluebirdbio-qualitydocs.veevavault.com/ui/#object/change_action__qdm/OPA0000000Z4022,https://bluebirdbio-qualitydocs.veevavault.com/ui/#object/quality_event__qdm/OP20000000WS005
CA-017613,,,N/A,Post-Implementation,CA-017613,QE-007160,24-Jun-24,Active,In Change Plan Approval,QE-007160,https://bluebirdbio-qualitydocs.veevavault.com/ui/#object/change_action__qdm/OPA0000000Z4021,https://bluebirdbio-qualitydocs.veevavault.com/ui/#object/quality_event__qdm/OP20000000WS005
CA-017612,,,N/A,Post-Implementation,CA-017612,QE-007160,24-Jun-24,Active,In Change Plan Approval,QE-007160,https://bluebirdbio-qualitydocs.veevavault.com/ui/#object/change_action__qdm/OPA0000000Z4020,https://bluebirdbio-qualitydocs.veevavault.com/ui/#object/quality_event__qdm/OP20000000WS005
CA-017611,,31-Dec-24,N/A,Post-Implementation,CA-017611,QE-007159,17-Jun-24,Active,In Post-Implementation Execution,QE-007159,https://bluebirdbio-qualitydocs.veevavault.com/ui/#object/change_action__qdm/OPA0000000Z3028,https://bluebirdbio-qualitydocs.veevavault.com/ui/#object/quality_event__qdm/OP20000000WS004
CA-017610,,31-Dec-24,N/A,Post-Implementation,CA-017610,QE-007159,17-Jun-24,Active,In Post-Implementation Execution,QE-007159,https://bluebirdbio-qualitydocs.veevavault.com/ui/#object/change_action__qdm/OPA0000000Z3027,https://bluebirdbio-qualitydocs.veevavault.com/ui/#object/quality_event__qdm/OP20000000WS004
CA-017609,,31-Dec-24,N/A,Post-Implementation,CA-017609,QE-007159,17-Jun-24,Active,In Post-Implementation Execution,QE-007159,https://bluebirdbio-qualitydocs.veevavault.com/ui/#object/change_action__qdm/OPA0000000Z3026,https://bluebirdbio-qualitydocs.veevavault.com/ui/#object/quality_event__qdm/OP20000000WS004
CA-017608,,31-Dec-24,N/A,Post-Implementation,CA-017608,QE-007159,17-Jun-24,Active,In Post-Implementation Execution,QE-007159,https://bluebirdbio-qualitydocs.veevavault.com/ui/#object/change_action__qdm/OPA0000000Z3025,https://bluebirdbio-qualitydocs.veevavault.com/ui/#object/quality_event__qdm/OP20000000WS004
CA-017607,,,Phase 1,Pre-Implementation,CA-017607,QE-007208,31-Dec-24,Active,In Assessment & Plan Building,QE-007208,https://bluebirdbio-qualitydocs.veevavault.com/ui/#object/change_action__qdm/OPA0000000Z5031,https://bluebirdbio-qualitydocs.veevavault.com/ui/#object/quality_event__qdm/OP20000000X7010
CA-017606,,,,Post-Implementation,CA-017606,QE-007160,24-Jun-24,Active,In Change Plan Approval,QE-007160,https://bluebirdbio-qualitydocs.veevavault.com/ui/#object/change_action__qdm/OPA0000000Z4019,https://bluebirdbio-qualitydocs.veevavault.com/ui/#object/quality_event__qdm/OP20000000WS005
